trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
283,True,"{'a': 0.0, 'e': 0.0}",25,11,29.694035852886795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,True,"{'a': 0.0, 'e': 0.0}",20,2,29.318211875803232,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,True,"{'a': 0.0, 'e': 0.0}",30,16,28.73951206859102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,True,"{'a': 0.0, 'e': 0.0}",25,16,17.979981345772337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,True,"{'a': 0.0, 'e': 0.0}",25,0,41.091678610147746,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
288,True,"{'a': 0.0, 'e': 0.0}",25,7,28.517850976049036,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,True,"{'a': 0.0, 'e': 0.0}",20,0,33.28369027722872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
290,True,"{'a': 0.0, 'e': 0.0}",20,11,17.66815471152188,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,True,"{'a': 0.0, 'e': 0.0}",25,3,32.04627156921725,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,True,"{'a': 0.0, 'e': 0.0}",35,15,35.67446909009275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,True,"{'a': 0.0, 'e': 0.0}",20,8,24.337110922166616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,True,"{'a': 0.0, 'e': 0.0}",20,8,21.228378639394226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,True,"{'a': 0.0, 'e': 0.0}",20,3,31.469173763585005,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,True,"{'a': 0.0, 'e': 0.0}",20,12,16.08549948477858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,True,"{'a': 0.0, 'e': 0.0}",30,0,52.35043584941116,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
298,True,"{'a': 0.0, 'e': 0.0}",25,0,27.689609451875906,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
299,True,"{'a': 0.0, 'e': 0.0}",20,16,7.385185106074772,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,True,"{'a': 0.0, 'e': 0.0}",20,5,22.062607261803294,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
